Date,Price,Open,High,Low,Vol.,Change %
2020-11-13,1888.04,1876.44,1897.16,1873.76,,0.65%
2020-11-12,1875.76,1865.30,1883.88,1862.46,,0.59%
2020-11-11,1864.71,1877.34,1884.93,1856.05,,-0.63%
2020-11-10,1876.50,1862.15,1890.60,1860.30,,0.79%
2020-11-09,1861.86,1954.65,1965.92,1850.36,,-4.59%
2020-11-06,1951.51,1949.24,1960.77,1935.40,,0.15%
2020-11-05,1948.56,1903.65,1952.95,1902.43,,2.38%
2020-11-04,1903.21,1908.59,1916.68,1883.15,,-0.27%
2020-11-03,1908.36,1895.80,1910.71,1886.81,,0.70%
2020-11-02,1895.10,1878.59,1896.12,1873.21,,0.91%
2020-10-30,1877.95,1868.24,1889.85,1864.64,,0.58%
2020-10-29,1867.13,1876.94,1885.42,1859.67,,-0.53%
2020-10-28,1877.06,1908.05,1911.03,1869.59,,-1.56%
2020-10-27,1906.83,1902.19,1911.34,1897.47,,0.27%
2020-10-26,1901.69,1902.34,1908.55,1890.90,,0.05%
2020-10-23,1900.79,1904.24,1914.30,1894.54,,-0.17%
2020-10-22,1904.04,1924.34,1926.00,1894.80,,-1.06%
2020-10-21,1924.49,1908.65,1931.41,1907.94,,0.95%
2020-10-20,1906.39,1904.24,1914.20,1894.74,,0.11%
2020-10-19,1904.27,1899.94,1918.59,1897.09,,0.28%
2020-10-16,1898.97,1907.95,1914.06,1897.59,,-0.46%
2020-10-15,1907.82,1900.31,1909.22,1889.46,,0.36%
2020-10-14,1900.89,1891.90,1913.03,1882.44,,0.53%
2020-10-13,1890.82,1922.42,1925.73,1886.59,,-1.62%
2020-10-12,1921.95,1930.50,1933.45,1918.19,,-0.39%
2020-10-09,1929.43,1894.19,1930.83,1893.32,,1.92%
2020-10-08,1893.09,1887.40,1900.73,1881.86,,0.31%
2020-10-07,1887.22,1878.84,1898.31,1873.05,,0.54%
2020-10-06,1877.13,1913.28,1921.10,1874.57,,-1.87%
2020-10-05,1912.90,1902.24,1918.74,1886.81,,0.75%
2020-10-02,1898.70,1905.65,1917.28,1889.57,,-0.33%
2020-10-01,1905.05,1885.80,1912.09,1884.48,,1.04%
2020-09-30,1885.44,1897.81,1902.39,1881.31,,-0.65%
2020-09-29,1897.69,1881.40,1899.24,1875.56,,0.90%
2020-09-28,1880.85,1859.00,1883.39,1849.19,,1.12%
